LGA,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BANYULE,5343.0,5890.7,6046.8,7897.2,7099.8,7866.8,7480.2,7438.0,6963.4,7327.8
BRIMBANK,8650.3,8952.7,9620.3,9155.6,9037.6,9601.8,8629.6,8826.6,8940.3,9629.9
DAREBIN,7710.8,8163.5,7556.8,9144.5,9473.3,10689.4,10302.3,9079.3,8868.1,9144.1
HOBSONS BAY,6252.1,7273.1,7751.0,7634.6,7389.2,7488.9,6649.8,6247.9,6408.1,6186.9
HUME,7484.1,8262.2,8154.2,8688.4,9555.6,10920.1,10182.2,9008.4,9021.7,8917.8
MARIBYRNONG,11127.8,11850.4,10400.8,10530.8,9327.3,10701.4,9720.0,9076.4,8855.2,9815.3
MELBOURNE,29537.1,29396.3,28849.9,24779.1,25225.8,24751.5,23209.0,22016.0,19131.6,19054.4
MELTON,5837.9,6978.8,6754.3,7338.2,7524.0,8611.9,7500.4,6879.2,6831.6,7778.3
MOONEE VALLEY,6371.9,6867.1,6971.0,7067.6,7513.9,7557.5,7520.1,6909.0,6060.1,6521.3
MORELAND,6759.3,7439.1,7354.5,7546.7,7700.0,8556.9,7863.3,7524.5,7671.4,7607.1
NILLUMBIK,3005.6,2923.7,3047.1,3335.8,3517.9,5396.3,4246.5,3380.0,3301.4,3476.8
WHITTLESEA,6022.4,6866.8,6652.5,7478.0,6599.5,7485.8,7473.8,6897.8,6966.3,6986.7
WYNDHAM,6350.4,6971.4,6348.2,6503.3,6054.8,6921.8,6110.6,5496.8,5666.8,6188.3
YARRA,13748.5,13467.8,12654.5,14096.4,14088.7,14894.4,13990.5,13988.5,12983.9,13715.5
TOTAL,8480.6,9079.4,8984.7,9256.8,9233.2,10058.9,9389.7,8830.3,8523.8,8850.0
ALPINE,3008.0,3398.2,3394.9,4435.5,3572.3,3378.9,2998.9,3927.7,4690.2,4627.4
BASS COAST,6721.1,6715.1,7114.4,8613.0,7987.5,9060.5,7697.9,6142.8,6740.1,7000.5
BAW BAW,4489.6,5671.1,6803.0,7437.2,7492.1,8388.1,7638.7,7840.5,8835.9,8781.5
BENALLA,6535.0,6729.7,7349.8,8253.0,7778.5,10864.0,9381.7,9327.5,9211.4,8683.6
BOROONDARA,3470.0,3820.6,3975.7,4250.0,3767.0,4548.8,4647.8,3777.8,3966.2,4773.4
EAST GIPPSLAND,7420.7,6762.2,8712.8,8320.3,9189.2,9440.8,8429.4,9343.0,9637.3,10398.7
GREATER SHEPPARTON,9131.3,10018.9,9581.9,10735.5,11412.8,12361.7,12697.9,12656.0,13248.5,13223.9
INDIGO,2924.9,3228.9,2794.0,3102.0,2983.3,2870.4,2798.0,2492.6,3424.9,3344.6
KNOX,5058.0,5411.0,5615.1,6153.1,6145.6,6653.4,7481.4,6956.0,6713.3,7330.5
LATROBE,11061.4,12288.5,13852.5,14303.8,17382.1,18881.8,18593.5,18473.9,18881.4,18079.2
MANNINGHAM,3036.4,3510.7,2982.5,3510.6,3580.7,3664.8,4179.6,3750.3,3700.6,3675.2
MANSFIELD,4520.3,4310.2,3866.6,5586.7,5099.6,6490.7,7241.9,6515.2,4936.8,4949.6
MAROONDAH,5574.8,6053.5,5756.9,6585.8,6910.1,7462.5,7672.7,6769.9,6956.1,6688.7
MITCHELL,8107.1,6571.6,6631.7,8287.3,9149.6,10486.9,10679.9,9935.0,9815.1,9787.8
MOIRA,4932.1,5084.6,4501.0,4951.9,5053.3,5850.2,6674.1,6641.6,7812.9,8170.8
MONASH,4446.1,4526.6,4640.0,4741.3,4974.8,6349.1,5951.6,5358.8,5200.5,5934.0
MURRINDINDI,4349.5,4451.5,4659.7,5041.3,4628.8,5230.6,4714.1,5049.0,5065.2,5716.4
SOUTH GIPPSLAND,3740.2,3888.8,4856.2,4007.6,4277.1,4694.0,5412.5,4618.8,5291.8,5541.1
STRATHBOGIE,4563.5,4341.1,5249.8,5130.8,4855.0,5658.0,6028.2,5561.8,6094.1,5211.2
TOWONG,3616.1,4764.3,4546.2,4396.5,2831.0,4250.7,3427.7,3419.2,3394.0,3735.3
WANGARATTA,7651.0,8043.6,8365.3,8753.9,8705.5,8929.1,8571.0,8100.1,8092.6,8542.5
WELLINGTON,6477.6,7411.9,8850.4,9525.5,9714.6,10650.1,10013.5,8401.3,9601.2,10313.3
WHITEHORSE,3988.9,3940.8,4476.8,4488.8,4500.3,4843.8,4931.2,4613.9,4798.1,5193.4
WODONGA,7908.4,8422.7,7784.4,7897.0,8357.3,8628.4,8007.4,8004.1,7827.4,8973.9
YARRA RANGES,4159.8,4234.5,4168.3,4674.7,4609.8,5692.3,5444.0,4978.8,5323.5,5452.5
TOTAL,5187.1,5473.1,5701.3,6131.5,6323.7,7090.8,7065.7,6586.7,6778.9,7094.0
BAYSIDE,3428.0,4481.8,4241.1,4267.7,4232.3,4932.4,4948.1,4508.0,4532.0,5000.8
CARDINIA,5363.2,5801.9,6286.7,6665.2,6866.9,7852.6,6451.0,5448.2,5716.9,6184.7
CASEY,5370.4,5345.4,5563.6,5607.8,6493.2,7280.9,7191.3,5923.5,6077.1,6465.8
FRANKSTON,9069.4,9326.4,10130.2,10930.3,10533.4,11519.5,11243.8,10423.9,10081.8,10477.0
GLEN EIRA,3823.5,4082.9,4106.6,3923.6,3965.8,4619.0,4973.0,4254.2,4269.3,5054.9
GREATER DANDENONG,9473.4,9912.1,10439.6,10419.0,11095.7,12882.1,12169.9,11049.1,10769.9,11142.4
KINGSTON,6094.2,5973.3,5944.8,6211.0,6551.9,7108.9,7004.6,6440.4,7010.4,7237.7
MORNINGTON PENINSULA,5605.2,5958.5,5888.3,6459.4,6632.8,7201.8,7104.1,6561.2,6348.3,6980.4
PORT PHILLIP,10138.2,11318.1,11176.0,10840.5,11265.2,11858.0,12308.4,11362.7,10676.4,11117.0
STONNINGTON,8307.3,8615.5,8677.4,9089.3,9068.9,9668.2,9521.7,9073.7,8943.9,10227.9
TOTAL,6539.5,6869.0,7043.0,7228.4,7538.7,8366.0,8183.0,7324.4,7285.3,7793.6
ARARAT,8140.6,9693.0,11584.0,8373.7,9773.3,10412.9,11092.2,10911.4,10983.5,11718.4
BALLARAT,9291.4,10121.2,9818.6,9805.4,10860.4,11223.2,11354.4,10642.5,9937.4,9986.3
BULOKE,5398.3,4616.1,4383.2,3078.1,3647.3,4026.1,2852.5,3994.8,4131.3,6015.7
CAMPASPE,7478.0,6784.4,6968.0,7314.3,8031.2,9461.4,9415.6,9499.9,10964.3,10303.9
CENTRAL GOLDFIELDS,7687.4,6787.8,8388.6,7963.4,8324.3,12065.4,9339.8,12136.6,9987.9,9405.3
COLAC-OTWAY,6274.3,6793.6,6474.9,7647.5,6363.6,8716.4,9780.7,7376.1,7387.3,8244.1
CORANGAMITE,4060.3,4875.5,3875.7,3910.6,3914.2,4992.9,6674.9,5260.5,4201.0,4484.5
GANNAWARRA,6371.4,4581.8,5329.7,5411.0,5039.9,5290.1,6282.5,5385.9,8556.1,7414.7
GLENELG,7794.2,6506.9,6895.0,7987.9,9121.8,8057.1,8455.2,7851.9,7283.7,8139.8
GOLDEN PLAINS,2373.7,2224.0,2445.7,2406.8,3067.1,3779.1,3332.2,2945.8,2537.7,2607.4
GREATER BENDIGO,5565.0,6507.9,7739.9,7711.5,7720.1,8542.1,9252.3,8389.3,9526.4,9347.5
GREATER GEELONG,6795.4,6903.0,7315.2,7511.1,8224.9,9687.8,9226.1,8564.4,8006.3,8628.1
HEPBURN,4696.2,4661.0,4273.7,3971.3,4845.4,5455.7,5432.2,5325.1,4982.8,5296.9
HINDMARSH,2988.4,4319.6,4733.4,3730.3,3391.9,5186.7,7187.8,5917.8,6442.4,6436.3
HORSHAM,9353.1,10240.7,13466.0,9955.4,14293.7,14549.4,12964.5,12488.7,13679.0,11434.7
LODDON,5221.3,5472.2,5480.2,7334.0,4474.8,6562.6,5474.9,5483.8,6436.6,6541.7
MACEDON RANGES,3686.8,3342.9,3821.1,4240.1,4627.7,5035.8,4588.8,4246.1,4969.0,4802.3
MILDURA,10974.1,10048.6,10348.8,10733.8,10914.8,11544.5,12264.7,11964.1,12917.5,13398.2
MOORABOOL,4509.9,4910.9,5856.6,5771.6,6428.8,7103.9,7514.5,6722.1,6339.7,6168.0
MOUNT ALEXANDER,4767.2,4869.0,4932.3,4816.0,5081.4,6409.4,5788.5,4453.2,5583.7,5537.9
MOYNE,3315.4,3851.8,3377.8,3791.2,3718.9,3501.2,4198.2,3180.0,3757.4,3837.0
NORTHERN GRAMPIANS,8603.0,7719.3,16616.2,7693.0,9438.3,10138.3,10870.9,8932.6,8735.3,9507.6
PYRENEES,3876.3,3702.6,5260.9,6243.8,6964.8,7914.2,7379.7,5712.0,8538.5,7313.6
QUEENSCLIFFE,4345.0,10336.9,3097.9,3468.0,5114.2,5257.8,5103.1,9859.2,4625.9,3894.0
SOUTHERN GRAMPIANS,5968.3,5935.2,6273.3,6650.3,6422.5,7579.2,8249.1,9346.7,8608.7,7387.8
SURF COAST,4158.9,4871.0,4205.0,4516.2,4644.7,5064.8,4198.2,3503.7,3515.1,3934.7
SWAN HILL,9067.8,8626.2,8379.8,9231.1,10639.9,10825.0,10975.2,12129.1,12635.0,11741.4
WARRNAMBOOL,9156.0,7069.2,6773.8,7841.9,8757.5,8845.9,10003.2,10495.4,11042.9,9221.7
WEST WIMMERA,2425.9,3179.9,4195.0,3962.4,3900.4,5130.8,5084.7,4117.0,4660.2,4446.9
YARRIAMBIACK,4079.1,5553.2,5290.1,4246.1,5523.0,7415.1,6792.3,7855.2,6115.4,8408.3
TOTAL,6725.9,6832.0,7288.4,7273.6,7860.1,8755.0,8788.6,8277.4,8355.9,8410.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
