Year,Year ending,Police Service Area,Local Government Area,LGA,Offence Division,offence_div,Offence Subdivision,Offence Subgroup,Offence Count,"PSA Rate per 100,000 population","LGA Rate per 100,000 population"
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2,1.7,1.8
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,150,126.1,134.6
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,120,100.9,107.6
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",59,49.6,52.9
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,267,224.5,239.5
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,177,148.8,158.8
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A30 Sexual offences,A30 Sexual offences,349,293.4,313.1
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,3,2.5,2.7
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,10,8.4,9.0
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,39,32.8,35.0
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,3,2.5,2.7
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,4,3.4,3.6
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,29,24.4,26.0
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,17,14.3,15.3
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,27,22.7,24.2
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,9,7.6,8.1
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,50,42.0,44.9
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,31,26.1,27.8
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,75,63.1,67.3
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,10,8.4,9.0
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,103,86.6,92.4
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B10 Arson,B11 Cause damage by fire,113,95.0,101.4
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B10 Arson,B12 Cause a bushfire,5,4.2,4.5
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B10 Arson,B19 Other fire related offences,3,2.5,2.7
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B20 Property damage,B21 Criminal damage,879,739.0,788.5
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B20 Property damage,B22 Graffiti,84,70.6,75.4
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B20 Property damage,B29 Other property damage offences,3,2.5,2.7
