Year,Year ending,Police Region,Local Government Area,LGA,Offence Count,"Rate per 100,000 population"
2020,June,1 North West Metro, Banyule,BANYULE,9700,7328
2020,June,1 North West Metro, Brimbank,BRIMBANK,20242,9630
2020,June,1 North West Metro, Darebin,DAREBIN,15161,9144
2020,June,1 North West Metro, Hobsons Bay,HOBSONS BAY,6100,6187
2020,June,1 North West Metro, Hume,HUME,21529,8918
2020,June,1 North West Metro, Maribyrnong,MARIBYRNONG,9388,9815
2020,June,1 North West Metro, Melbourne,MELBOURNE,35727,19054
2020,June,1 North West Metro, Melton,MELTON,13378,7778
2020,June,1 North West Metro, Moonee Valley,MOONEE VALLEY,8611,6521
2020,June,1 North West Metro, Moreland,MORELAND,14355,7607
2020,June,1 North West Metro, Nillumbik,NILLUMBIK,2266,3477
2020,June,1 North West Metro, Whittlesea,WHITTLESEA,16556,6987
2020,June,1 North West Metro, Wyndham,WYNDHAM,17542,6188
2020,June,1 North West Metro, Yarra,YARRA,14147,13716
2020,June,1 North West Metro,Total,TOTAL,204702,8850
2020,June,2 Eastern, Alpine,ALPINE,595,4627
2020,June,2 Eastern, Bass Coast,BASS COAST,2595,7000
2020,June,2 Eastern, Baw Baw,BAW BAW,4801,8781
2020,June,2 Eastern, Benalla,BENALLA,1222,8684
2020,June,2 Eastern, Boroondara,BOROONDARA,8803,4773
2020,June,2 Eastern, East Gippsland,EAST GIPPSLAND,4969,10399
2020,June,2 Eastern, Greater Shepparton,GREATER SHEPPARTON,8843,13224
2020,June,2 Eastern, Indigo,INDIGO,563,3345
2020,June,2 Eastern, Knox,KNOX,12115,7331
2020,June,2 Eastern, Latrobe,LATROBE,13724,18079
2020,June,2 Eastern, Manningham,MANNINGHAM,4729,3675
2020,June,2 Eastern, Mansfield,MANSFIELD,460,4950
2020,June,2 Eastern, Maroondah,MAROONDAH,8006,6689
2020,June,2 Eastern, Mitchell,MITCHELL,4691,9788
2020,June,2 Eastern, Moira,MOIRA,2452,8171
2020,June,2 Eastern, Monash,MONASH,12078,5934
2020,June,2 Eastern, Murrindindi,MURRINDINDI,842,5716
2020,June,2 Eastern, South Gippsland,SOUTH GIPPSLAND,1669,5541
2020,June,2 Eastern, Strathbogie,STRATHBOGIE,567,5211
2020,June,2 Eastern, Towong,TOWONG,226,3735
2020,June,2 Eastern, Wangaratta,WANGARATTA,2508,8542
2020,June,2 Eastern, Wellington,WELLINGTON,4599,10313
2020,June,2 Eastern, Whitehorse,WHITEHORSE,9341,5193
2020,June,2 Eastern, Wodonga,WODONGA,3854,8974
2020,June,2 Eastern, Yarra Ranges,YARRA RANGES,8746,5452
2020,June,2 Eastern,Total,TOTAL,122998,7094
2020,June,3 Southern Metro, Bayside,BAYSIDE,5386,5001
2020,June,3 Southern Metro, Cardinia,CARDINIA,7247,6185
2020,June,3 Southern Metro, Casey,CASEY,23613,6466
2020,June,3 Southern Metro, Frankston,FRANKSTON,15061,10477
2020,June,3 Southern Metro, Glen Eira,GLEN EIRA,7956,5055
2020,June,3 Southern Metro, Greater Dandenong,GREATER DANDENONG,18940,11142
2020,June,3 Southern Metro, Kingston,KINGSTON,12087,7238
2020,June,3 Southern Metro, Mornington Peninsula,MORNINGTON PENINSULA,11807,6980
2020,June,3 Southern Metro, Port Phillip,PORT PHILLIP,13087,11117
2020,June,3 Southern Metro, Stonnington,STONNINGTON,12162,10228
2020,June,3 Southern Metro,Total,TOTAL,127346,7794
2020,June,4 Western, Ararat,ARARAT,1390,11718
2020,June,4 Western, Ballarat,BALLARAT,11132,9986
2020,June,4 Western, Buloke,BULOKE,366,6016
2020,June,4 Western, Campaspe,CAMPASPE,3878,10304
2020,June,4 Western, Central Goldfields,CENTRAL GOLDFIELDS,1244,9405
